//12V
-6240	768	745
-5720	882	861
-5200	997	975
-4680	1111	1087
-4160	1224	1199
-3640	1339	1314
-3120	1452	1427
-2600	1566	1542
-2080	1680	1656
-1560	1795	1771
-1040	1909	1885
-520	2023	1997
0	2137	2113
520	2250	2225
1040	2362	2338
1560	2478	2453
2080	2593	2567
2600	2708	2681
3120	2821	2793
3640	2932	2907
4160	3048	3022
4680	3160	3134
5200	3276	3250
5720	3389	3362
6240	3506	3478
//27V		
-22880	621	601
-20800	760	739
-18720	899	878
-16640	1038	1017
-14560	1177	1154
-12480	1317	1292
-10400	1455	1430
-8320	1593	1569
-6240	1733	1709
-4160	1872	1848
-2080	2012	1987
0	2149	2125
2080	2288	2263
4160	2427	2402
6240	2566	2540
8320	2706	2679
10400	2844	2817
12480	2982	2956
14560	3121	3095
16640	3259	3233
18720	3399	3372
20800	3537	3511
22880	3648	3622
