//12V
-12000	0	0
0	2099	2105
520	2198	2204
1040	2307	2314
1560	2417	2422
2080	2523	2531
2600	2634	2639
3120	2743	2746
3640	2852	2855
4160	2959	2965
4679	3067	3075
5200	3178	3182
5720	3287	3289
6240	3396	3396
6759	3505	3504
7280	3590	3591
12000	4096	4096
//27V
-27000	0	0
0	2103	2110
520	2134	2141
1040	2168	2175
1560	2203	2210
2080	2239	2244
2600	2273	2278
3120	2307	2313
3640	2341	2347
4160	2375	2381
4679	2409	2415
5200	2444	2449
5720	2477	2484
6240	2512	2518
6759	2546	2552
7280	2581	2586
7800	2616	2620
8320	2651	2654
8839	2685	2688
9359	2720	2722
9880	2755	2757
10400	2788	2790
10919	2823	2825
11440	2857	2860
11960	2890	2894
27000	4096	4096
