//12V
-12000	0	0
-6240	716	726
-5720	832	842
-5200	947	956
-4680	1061	1069
-4160	1174	1183
-3640	1290	1298
-3120	1403	1413
-2600	1517	1526
-2080	1631	1639
-1560	1747	1753
-1040	1861	1866
-520	1974	1980
0	2090	2095
520	2202	2208
1040	2315	2321
1560	2429	2435
2080	2542	2548
2600	2658	2662
3120	2772	2774
3640	2884	2888
4160	2998	3003
4680	3112	3115
5200	3227	3230
5720	3340	3341
6240	3455	3456
12000	4096	4096
//27V
-27000	0	0
-22880	565	574
-20800	702	712
-18720	842	852
-16640	982	991
-14560	1122	1131
-12480	1262	1270
-10400	1402	1411
-8320	1541	1549
-6240	1681	1689
-4160	1821	1827
-2080	1960	1967
0	2100	2106
2080	2240	2245
4160	2378	2383
6240	2516	2522
8320	2656	2660
10400	2796	2799
12480	2934	2939
14560	3073	3079
16640	3213	3216
18720	3354	3355
20800	3493	3493
22880	3607	3608
27000	4096	4096
